males 69 aeg 41 scaled coordinates
1.5364032413	1.4393161487	1.1237830975	1.4077628436	1.6043642062	1.2402876087	1.3252388148	1.1990255944	0.8567935927	1.3325203468	0.6796096486	1.2766952685	1.3252388148	1.1480548707	0.9174730256	1.1893168851	0.5266974777	1.2087343036	0.4053386119	1.1189287429	0.3956299026	1.0485406007	0.4635908675	0.9635893947	0.9417447988	1.0194144729	1.2524234953	1.050967778	1.7402861359	1.0364047141	2.507274168	1.2402876087
1.4781553398	1.5631067961	1.0412621359	1.5533980583	1.5461165049	1.3325242718	1.2621359223	1.3300970874	0.7427184466	1.5	0.5315533981	1.4563106796	1.25	1.2791262136	0.8203883495	1.3519417476	0.3713592233	1.4004854369	0.2597087379	1.3300970874	0.2548543689	1.2621359223	0.2936893204	1.1868932039	0.822815534	1.177184466	1.1601941748	1.1941747573	1.6966019417	1.1480582524	2.4563106796	1.2912621359
1.4854325177	1.4029084889	1.0461134234	1.4368889714	1.5242673548	1.1698994666	1.2208701902	1.1893168851	0.7888326279	1.4101900209	0.5655323147	1.3810638931	1.2014527717	1.1432005161	0.8373761742	1.2378604314	0.3883483706	1.3373747014	0.2645623275	1.2815496231	0.2427177317	1.1893168851	0.2742710368	1.1262102749	0.8300946422	1.0752395512	1.1092200336	1.0606764873	1.6286359794	0.9538806854	2.3907696568	1.0315503595
1.7070217918	1.4697336562	1.2711864407	1.4721549637	1.7627118644	1.2421307506	1.4697336562	1.2445520581	1	1.4430992736	0.7966101695	1.4213075061	1.4552058111	1.200968523	1.0484261501	1.2978208232	0.6295399516	1.3704600484	0.5060532688	1.3099273608	0.4963680387	1.2445520581	0.5472154964	1.1573849879	1.0290556901	1.1259079903	1.3631961259	1.1162227603	1.9152542373	1.0460048426	2.6610169492	1.1670702179
1.5815038346	1.5036451843	1.1605805063	1.425786534	1.6885594788	1.2846677303	1.4087549542	1.2262737425	0.8661774848	1.3308963039	0.6763970247	1.2676361505	1.3868572088	1.1703128376	0.9489023008	1.1873444174	0.5231128068	1.1849113346	0.4087579142	1.0924541873	0.3990255829	1.0194617026	0.4501203222	0.9440361351	0.9853985431	1.0048632057	1.3235970554	1.0681233591	1.8710406905	1.0851549388	2.6374617796	1.3600932978
1.3625263806	1.3211639726	0.931870721	1.30169931	1.5012121015	1.0754226075	1.1581474235	1.0681233591	0.6423338651	1.2481714879	0.4282225768	1.1995098315	1.1484150922	1.0170286198	0.7323579296	1.0851549388	0.2725052761	1.1459820094	0.1411188037	1.0754226075	0.1289533896	1.0024301229	0.1654496319	0.9270045554	0.6909955216	0.9075398928	1.0583910278	0.9197053069	1.6350316567	0.863744402	2.357657255	1.0510917793
1.4854193914	1.2985283896	1.050958491	1.3106641689	1.5169724177	1.0728028938	1.235422337	1.0703757379	0.7645540985	1.271829675	0.5679544732	1.2451309605	1.2281408694	1.0291140882	0.7888256572	1.1310546347	0.4198979652	1.2038693107	0.2864043925	1.1407632581	0.2694143014	1.0728028938	0.3106759511	0.9902795943	0.8009614366	0.9538722563	1.1528990375	0.9490179445	1.6747375492	0.8762032685	2.4538545829	0.9562994121
1.9563106796	1.4854368932	1.5194174757	1.4563106796	2.0461165049	1.25	1.7742718447	1.2354368932	1.2427184466	1.3859223301	1.0266990291	1.3325242718	1.7669902913	1.1796116505	1.3422330097	1.2354368932	0.8762135922	1.2669902913	0.7645631068	1.1893203883	0.7621359223	1.1262135922	0.7985436893	1.0558252427	1.3422330097	1.0558252427	1.6747572816	1.0922330097	2.182038835	1.0752427184	2.9417475728	1.2524271845
1.3761973774	1.2791111426	0.902901983	1.235422337	1.475710768	1.0582399586	1.1310546347	1.0266869323	0.6383419934	1.1771705961	0.4198979652	1.1262003229	1.1286274788	0.9781438149	0.7330010722	1.031541244	0.2669871455	1.0703757379	0.1383478845	0.9927067502	0.1432021962	0.9247463858	0.1965996253	0.8470773981	0.7257196046	0.866494645	1.0485313351	0.8931933596	1.6577474581	0.8689218009	2.3980299979	1.0630942703
1.4611650485	1.6359223301	1.0485436893	1.6213592233	1.5800970874	1.4223300971	1.2572815534	1.4029126214	0.7572815534	1.5655339806	0.5606796117	1.5315533981	1.25	1.354368932	0.8446601942	1.427184466	0.4247572816	1.4830097087	0.3033980583	1.4101941748	0.2815533981	1.3495145631	0.3203883495	1.2766990291	0.8495145631	1.25	1.1650485437	1.2718446602	1.7087378641	1.2208737864	2.4975728155	1.3883495146
1.5703883495	1.4223300971	1.1140776699	1.4101941748	1.6577669903	1.1966019417	1.3325242718	1.177184466	0.8325242718	1.354368932	0.6334951456	1.3131067961	1.3203883495	1.1334951456	0.9223300971	1.2038834951	0.4781553398	1.2621359223	0.3398058252	1.1966019417	0.3276699029	1.1262135922	0.3713592233	1.0485436893	0.9029126214	1.0339805825	1.2524271845	1.0485436893	1.8373786408	0.9902912621	2.5970873786	1.1432038835
1.6295399516	1.5084745763	1.2130750605	1.4552058111	1.7191283293	1.2953995157	1.411622276	1.2493946731	0.9128329298	1.3656174334	0.7167070218	1.3002421308	1.3995157385	1.1985472155	1.004842615	1.2276029056	0.5738498789	1.2324455206	0.4503631961	1.1549636804	0.4503631961	1.0847457627	0.5084745763	1.0072639225	1.0242130751	1.0508474576	1.3607748184	1.1065375303	1.9249394673	1.1113801453	2.6464891041	1.3341404358
1.4854325177	1.3616464746	1.0533949554	1.3786367158	1.5121314682	1.1601907573	1.2184430129	1.1650451119	0.7791239186	1.3446562333	0.5800953786	1.3228116375	1.1990255944	1.1140743883	0.8106772237	1.2111614809	0.429610385	1.2839768004	0.3033971646	1.2208701902	0.2888341007	1.1601907573	0.3252417604	1.0873754378	0.7961141598	1.0461134234	1.1310646295	1.0412590688	1.6286359794	0.9514535081	2.407759898	1.0558221327
1.5786878662	1.2324419078	1.1307472907	1.2251780066	1.5762665658	1.0242100727	1.3002383193	1.0169461715	0.8668255462	1.1719093976	0.6513298098	1.1283259903	1.2784466156	0.9612562621	0.9128302539	1.0338952744	0.5036304849	1.0750573813	0.3728802629	1.0072609699	0.3631950613	0.9443071593	0.4043571682	0.8619829454	0.9104089535	0.8619829454	1.2348632083	0.8813533486	1.7409149936	0.8377699413	2.508467223	0.9830479658
1.4648867471	1.3317152246	1.0484230768	1.3389791258	1.5472109609	1.0992703854	1.227599307	1.096849085	0.7627096286	1.2881318172	0.5447925919	1.2566549119	1.2082289038	1.0484230768	0.8087143364	1.1331685911	0.3656163617	1.1985437021	0.2493939421	1.1380111919	0.2348661396	1.0605295789	0.2639217445	0.9806266654	0.8038717356	0.9515710605	1.1476963936	0.9588349617	1.6803824834	0.8934598507	2.484254219	1.0169461715
1.4247530848	1.6092185608	1.012132941	1.6189272701	1.5024227589	1.3762095385	1.1723266439	1.3834910704	0.7184444857	1.5898011423	0.5024257045	1.5606750145	1.1529092253	1.3300931694	0.766988032	1.4247530848	0.3349504697	1.5121314682	0.2135916039	1.4514520353	0.1941741853	1.3786367158	0.2160187812	1.3106757509	0.7524249681	1.25727785	1.0752395512	1.2548506726	1.6577621072	1.1723266439	2.3980511887	1.2912583324
1.548525444	1.4465848975	1.0776572055	1.4368762741	1.6261944318	1.2329951811	1.3373628835	1.2135779342	0.7961071248	1.3664887539	0.6019346554	1.3130913248	1.3130913248	1.1577533492	0.8883390478	1.2184322459	0.4441695239	1.2427038046	0.3567919126	1.1723162844	0.3470832892	1.0922201408	0.40533503	1.0194054647	0.8956205154	1.0339683999	1.2451309605	1.0655214262	1.8349298365	1.0291140882	2.563076597	1.21600509
1.5509663052	1.3519377653	1.1334918068	1.3373747014	1.6237816247	1.1189287429	1.3373747014	1.1092200336	0.8543664154	1.2791224458	0.6553378755	1.2330060768	1.3325203468	1.0533949554	0.9320360895	1.1262102749	0.5072800591	1.1771809985	0.3883483706	1.1019385017	0.3859211933	1.0339775368	0.429610385	0.9490263308	0.9077643164	0.9490263308	1.2597050273	0.966016572	1.8446547605	0.9101914937	2.546109005	1.0606764873
1.4358311422	1.2009650025	1.0145248711	1.2009650025	1.5084701544	0.9951544678	1.2033863029	0.978205365	0.7578670278	1.1525389944	0.5496351927	1.1137981878	1.1937011013	0.9346219576	0.806293036	1.0096822703	0.3825654645	1.0653721797	0.2590791437	0.9927331674	0.2493939421	0.9128302539	0.302662551	0.8450338425	0.7748161307	0.8474551429	1.1162194882	0.8571403446	1.6319564752	0.7966078343	2.3680317994	0.9297793568
1.3922477348	1.6997528867	0.9733627642	1.6537481789	1.4987849528	1.4794145495	1.1937011013	1.4334098417	0.6803854147	1.5690026646	0.4648896784	1.4987849528	1.1840158997	1.3849838336	0.7772374311	1.4164607389	0.3099264523	1.4334098417	0.2009679339	1.3438217266	0.1961253331	1.2784466156	0.2348661396	1.2106502042	0.7990291348	1.2397058091	1.1307472907	1.2881318172	1.6658546809	1.2881318172	2.3874022026	1.5278405577
1.6116457382	1.4029084889	1.1820353531	1.4101900209	1.6650436391	1.1917440624	1.3543649426	1.1893168851	0.8932012525	1.3737823611	0.7014542445	1.3398018787	1.3373747014	1.1407733388	0.95873504	1.2232973675	0.5145615911	1.2888311551	0.4077657892	1.2087343036	0.3956299026	1.1553364027	0.4320375623	1.0776667285	0.9465991534	1.050967778	1.2815496231	1.0558221327	1.8155286327	0.9805796359	2.5388274731	1.0898026151
1.4673080475	1.5036275536	1.0096822703	1.4600441462	1.5496322613	1.3026596197	1.2590762123	1.2614975127	0.7118623201	1.3849838336	0.5254221886	1.3268726238	1.2421271095	1.2033863029	0.8111356368	1.2469697103	0.3922506662	1.2614975127	0.2857134482	1.1791732989	0.2760282466	1.1137981878	0.3268755551	1.0411591756	0.806293036	1.0726360809	1.1573815952	1.1186407887	1.7167019895	1.108955587	2.443092112	1.2953957185
1.4091968377	1.3244513234	0.9854692662	1.2711827144	1.5036275536	1.1137981878	1.2179141054	1.0798999821	0.7045984188	1.2009650025	0.5036304849	1.1452750931	1.2227567062	1.0266313731	0.8087143364	1.055686978	0.3680376621	1.0823212825	0.2397087404	1.0169461715	0.225180938	0.9515710605	0.2687643453	0.8789320482	0.7820800319	0.8886172499	1.1380111919	0.937043258	1.6755398826	0.9297793568	2.3849809022	1.1476963936
1.3543649426	1.0631036646	0.8980556071	1.0266960049	1.4320346167	0.8446577061	1.1140743883	0.8155315783	0.6189302157	0.9538806854	0.4126201438	0.9053371391	1.1067928563	0.7597065001	0.6771824713	0.8106772237	0.2718438594	0.8373761742	0.145630639	0.7597065001	0.1480578163	0.6917455352	0.1941741853	0.6140758611	0.6917455352	0.6432019889	1.0194144729	0.6796096486	1.6286359794	0.6529106981	2.3592163516	0.8349489969
